"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"731","Callinectes","MT",2025,4999.70880817923,3462.31494034734,0,1242.41424352511,766.087305488388,0,"MPA 2015",0.255253624530748
"732","Callinectes","MT",2026,5060.94136172361,3502.92899908059,0,1204.32408993997,756.124893523834,0,"MPA 2015",0.2442577862046
"733","Callinectes","MT",2027,5119.18231693083,3536.91127663522,0,1166.66912819335,742.114662168518,0,"MPA 2015",0.23378126205971
"734","Callinectes","MT",2028,5174.58879888157,3568.21508265946,0,1129.55869979909,726.960910192499,0,"MPA 2015",0.223797436735617
"735","Callinectes","MT",2029,5227.31980824038,3598.04292143305,0,1093.08195995754,711.576491540342,0,"MPA 2015",0.214281150497276
"736","Callinectes","MT",2030,5277.51840359651,3626.76602554308,0,1057.31115938234,696.238501437361,0,"MPA 2015",0.205208615732639
"737","Callinectes","MT",2031,5325.32173194719,3654.51272252516,0,1022.30387398067,681.03656011356,0,"MPA 2015",0.196557338404868
"738","Callinectes","MT",2032,5370.85706493493,3681.34232758287,0,988.105051075041,666.005862123586,0,"MPA 2015",0.188306044158372
"739","Callinectes","MT",2033,5414.244749678,3707.29424028932,0,954.748777143917,651.165356888632,0,"MPA 2015",0.180434608795949
"740","Callinectes","MT",2034,5455.59755984541,3732.40164943846,0,922.259800039097,636.528321410262,0,"MPA 2015",0.172923992861845
"741","Callinectes","MT",2035,5495.02180961293,3756.69521801385,0,890.654878555984,622.105332991848,0,"MPA 2015",0.165756180082098
"742","Callinectes","MT_20",2015,3094.29243652278,355.025050240278,0,873.095613234887,68.3505684294776,12124.0016669729,"MPA 2015",0.408554047316943
"743","Callinectes","MT_20",2016,4060.80137363698,567.536934338877,0,1191.84580452177,106.811808112298,0,"MPA 2015",0.39022897826421
"744","Callinectes","MT_20",2017,4761.94041207576,891.246686397577,0,1483.78273161931,165.451995596043,0,"MPA 2015",0.372797203396512
"745","Callinectes","MT_20",2018,5136.3421357176,1356.66006032485,0,1665.5615228717,251.766906253695,0,"MPA 2015",0.356211694654961
"746","Callinectes","MT_20",2019,5324.82951414264,1965.36031242493,0,1721.93526031509,371.367021696716,0,"MPA 2015",0.340427956356846
"747","Callinectes","MT_20",2020,5443.38047039278,2652.28275961886,0,1707.45953497947,521.347860192356,0,"MPA 2015",0.325404139693091
"748","Callinectes","MT_20",2021,5542.37246773881,3278.87690408073,0,1669.55916160206,681.869689151636,0,"MPA 2015",0.311100863485342
"749","Callinectes","MT_20",2022,5633.1832466834,3716.30598953054,0,1625.81674087206,817.082109406074,0,"MPA 2015",0.297480963440603
"750","Callinectes","MT_20",2023,5719.06111897328,3953.39633358877,0,1580.64429573815,897.77914429992,0,"MPA 2015",0.284509318365283
"751","Callinectes","MT_20",2024,5800.52793837595,4069.44020725102,0,1535.14838358133,925.922148672654,0,"MPA 2015",0.272152722109567
"752","Callinectes","MT_20",2025,5877.99235443809,4134.6117576713,0,1489.70142652239,924.057843199197,0,"MPA 2015",0.260379772275489
"753","Callinectes","MT_20",2026,5951.64825812104,4181.71368934148,0,1444.52529208542,910.294983789648,0,"MPA 2015",0.249160767504129
"754","Callinectes","MT_20",2027,6021.72707446063,4222.37280524172,0,1399.78840090562,892.718238043091,0,"MPA 2015",0.23846761110565
"755","Callinectes","MT_20",2028,6088.41550350223,4260.25951852861,0,1355.62948245005,874.102572842314,0,"MPA 2015",0.228273720390927
"756","Callinectes","MT_20",2029,6151.90192571397,4296.48469983139,0,1312.16266222283,855.307309651636,0,"MPA 2015",0.218553941300155
"757","Callinectes","MT_20",2030,6212.35611175702,4331.39628300929,0,1269.48128137225,836.594779493055,0,"MPA 2015",0.209284468008683
"758","Callinectes","MT_20",2031,6269.94073222523,4365.12107124679,0,1227.6606652512,818.053203671841,0,"MPA 2015",0.200442767210577
"759","Callinectes","MT_20",2032,6324.80686748856,4397.72351975136,0,1186.76055117626,799.72021710341,0,"MPA 2015",0.192007506800951
"760","Callinectes","MT_20",2033,6377.09740590151,4429.24987460339,0,1146.82724013248,781.618037869599,0,"MPA 2015",0.183958488695147
"761","Callinectes","MT_20",2034,6426.94632862357,4459.74047705666,0,1107.8954277446,763.763101460417,0,"MPA 2015",0.176276585538511
"762","Callinectes","MT_20",2035,6474.48000066962,4489.23300099644,0,1069.98984377272,746.168803371658,0,"MPA 2015",0.168943681075742
"763","Callinectes","MT_40",2015,3807.8791525182,308.566666439231,0,1018.21785272989,57.4012212958464,19608.7660154271,"MPA 2015",0.389770622620785
"764","Callinectes","MT_40",2016,5008.31759269093,499.224103613052,0,1399.71320715076,90.5376725458195,0,"MPA 2015",0.37215866769065
"765","Callinectes","MT_40",2017,5859.38565541776,797.870016144511,0,1746.73241559528,142.050459762905,0,"MPA 2015",0.355424272432323
"766","Callinectes","MT_40",2018,6293.84604411581,1246.34968582267,0,1955.63767306397,220.166919268667,0,"MPA 2015",0.339519727095793
"767","Callinectes","MT_40",2019,6504.15276390176,1873.56803404189,0,2012.30895226969,333.534542404077,0,"MPA 2015",0.324400003368816
"768","Callinectes","MT_40",2020,6636.82633076351,2655.48817931231,0,1988.28331144446,486.26239044079,0,"MPA 2015",0.310022862611455
"769","Callinectes","MT_40",2021,6749.27156930316,3473.40904332186,0,1940.01467077859,668.477335625777,0,"MPA 2015",0.296348641098177
"770","Callinectes","MT_40",2022,6852.93337602295,4144.0182789418,0,1886.40427896498,848.217198062084,0,"MPA 2015",0.283339981221854
"771","Callinectes","MT_40",2023,6951.09417372807,4558.4680514866,0,1831.7647776494,981.885030036486,0,"MPA 2015",0.270961650944339
"772","Callinectes","MT_40",2024,7044.17411390469,4764.13613462851,0,1777.13040936772,1048.08741731304,0,"MPA 2015",0.259180408322482
"773","Callinectes","MT_40",2025,7132.64253968074,4865.23824335501,0,1722.84991843615,1062.96301041508,0,"MPA 2015",0.247964882126675
"774","Callinectes","MT_40",2026,7216.70909301918,4927.00269191023,0,1669.14516378037,1053.43891701418,0,"MPA 2015",0.237285461364861
"775","Callinectes","MT_40",2027,7296.64979656445,4975.34138281157,0,1616.18348251361,1035.35239467419,0,"MPA 2015",0.227114191728996
"776","Callinectes","MT_40",2028,7372.67981418015,5018.7472990405,0,1564.10240347463,1014.76065862856,0,"MPA 2015",0.217424678388379
"777","Callinectes","MT_40",2029,7445.02140797704,5059.78731096619,0,1513.0122500141,993.594948374957,0,"MPA 2015",0.208191994673613
"778","Callinectes","MT_40",2030,7513.87236017904,5099.22808807794,0,1463.0013392156,972.431190984106,0,"MPA 2015",0.199392596294283
"779","Callinectes","MT_40",2031,7579.42355658361,5137.31581735636,0,1414.13850436923,951.444816609377,0,"MPA 2015",0.191004240740851
"780","Callinectes","MT_40",2032,7641.8514126014,5174.1497555544,0,1366.47611090425,930.697224698451,0,"MPA 2015",0.183005911552351
"781","Callinectes","MT_40",2033,7701.32311236415,5209.78818657753,0,1320.05229041587,910.216953247034,0,"MPA 2015",0.17537774714768
"782","Callinectes","MT_40",2034,7757.99503978301,5244.27720960859,0,1274.8930685677,890.0221438425,0,"MPA 2015",0.168100973939169
"783","Callinectes","MT_40",2035,7812.01470511062,5277.65861434308,0,1231.01412604698,870.126618185375,0,"MPA 2015",0.161157843463967
"784","Callinectes","MT_60",2015,4162.76729636849,511.86885147993,0,1163.52578982401,97.651112878739,15044.2145488639,"MPA 2015",0.405869230635289
"785","Callinectes","MT_60",2016,5483.21695127552,814.816092222345,0,1592.26675500021,152.340993684445,0,"MPA 2015",0.387484372754391
"786","Callinectes","MT_60",2017,6452.72703040214,1271.53588326936,0,1988.65656647436,235.228731956741,0,"MPA 2015",0.370022219879325
"787","Callinectes","MT_60",2018,6974.03880466204,1918.05010745666,0,2238.94758128038,356.072619085868,0,"MPA 2015",0.35343213763592
